"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2013","9.28","9.30","9.36","9.26","6.51M","-0.43%"
"01/18/2013","9.32","9.30","9.33","9.22","13.94M","0.32%"
"01/17/2013","9.29","9.12","9.31","9.10","15.68M","1.64%"
"01/16/2013","9.14","9.10","9.14","8.95","13.22M","0.55%"
"01/15/2013","9.09","9.20","9.20","9.08","14.09M","-1.52%"
"01/14/2013","9.23","9.14","9.28","9.09","15.97M","1.65%"
"01/11/2013","9.08","9.06","9.11","9.00","17.97M","-0.33%"
"01/10/2013","9.11","9.30","9.30","9.05","21.98M","-1.41%"
"01/09/2013","9.24","9.14","9.25","9.07","15.70M","1.32%"
"01/08/2013","9.12","9.10","9.20","9.05","14.79M","0.33%"
"01/07/2013","9.09","9.10","9.17","9.01","18.98M","-0.44%"
"01/04/2013","9.13","9.26","9.26","8.96","32.22M","-1.72%"
"01/03/2013","9.29","8.77","9.30","8.77","41.67M","5.93%"
"01/02/2013","8.77","8.72","8.87","8.71","21.04M","2.33%"
"12/28/2012","8.57","8.58","8.65","8.52","15.88M","0.71%"
"12/27/2012","8.51","8.74","8.74","8.51","13.87M","-1.85%"
"12/26/2012","8.67","8.85","8.91","8.66","13.18M","-2.14%"
"12/21/2012","8.86","8.63","8.86","8.63","15.24M","1.26%"
"12/20/2012","8.75","8.81","8.88","8.69","15.32M","-1.02%"
"12/19/2012","8.84","8.64","8.84","8.59","17.62M","2.43%"
"12/18/2012","8.63","8.61","8.68","8.56","9.57M","0.12%"
"12/17/2012","8.62","8.63","8.75","8.58","16.87M","0.00%"
"12/14/2012","8.62","8.67","8.70","8.56","14.77M","-0.46%"
"12/13/2012","8.66","8.54","8.75","8.52","22.25M","0.70%"
"12/12/2012","8.60","8.51","8.63","8.49","18.41M","0.12%"
"12/11/2012","8.59","8.52","8.62","8.46","13.52M","0.59%"
"12/10/2012","8.54","8.38","8.57","8.36","18.41M","1.43%"
"12/07/2012","8.42","8.42","8.51","8.33","23.00M","0.00%"
